Q1,Q2,Q3,Q3_tinder,Q3_bumble,Q3_match,Q3_pof,Q3_okcupid,Q3_hinge,Q3_clover,Q3_grindr,Q3_coffeebean,Q3_meetme,Q3_eharmony,Q3_jda,Q3_aff,Q3_facebook_dating,Q3_never_used,Q5,Q5_short_term,Q5_long_term,Q5_friendship,Q5_validation,Q5_entertainment,Q5_other,Q5_never_used,Q6,Q7,Q13,Q20,Q27,Q28,Q29,Q30,Random ID
35-44,Man,"Tinder,Plenty of Fish",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Finding short-term romantic or sexual relationships,1,0,0,0,0,0,0,Occasionally,Occasionally,7,7,5,1,1,7,83547
25-34,Man,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Rarely,Rarely,3,5,5,7,7,7,17119
25-34,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Grindr",1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",1,1,0,0,0,0,0,Occasionally,Occasionally,5,7,6,6,6,6,47216
35-44,Man,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",1,1,0,0,1,0,0,Occasionally,Rarely,2,1,1,1,1,5,33917
25-34,Man,"Tinder,Bumble,OKCupid",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",1,1,1,0,0,0,0,Rarely,Occasionally,3,4,2,1,1,6,42654
45-54,Man,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,4,3,2,1,1,1,70556
25-34,Woman,I have never used a dating app,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,I have never used a dating app,0,0,0,0,0,1,0,Never,Never,5,3,4,1,1,1,82981
35-44,Woman,Tinder,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Occasionally,6,7,4,3,2,5,77694
25-34,Man,"Tinder,Match,OKCupid",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,3,5,3,3,2,7,61988
25-34,Woman,"Match,Coffee & Bagel",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Finding long-term romantic or sexual relationships,0,1,0,0,0,0,0,Occasionally,Rarely,5,6,5,5,6,5,43264
18-24,Man,Plenty of Fish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Making friends,Entertainment",1,0,1,0,1,0,0,Never,Rarely,7,6,6,5,6,5,27597
25-34,Woman,"Tinder,Bumble,Plenty of Fish",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",1,1,1,1,1,0,0,Rarely,Never,5,5,2,6,1,6,44496
